pid,fnm,lnm,hght,n,bx,by,bz,rt,rx,ry,rz,rv,rvx,rvy,rvz,mnv,mnvt,mnvx,mnvy,mnvz,mxv,mxvt,mxvx,mxvy,mxvz,ta1t,ta1x,ta1y,ta1z,ta2t,ta2x,ta2y,ta2z,at1t,at1x,at1y,at1z,at2t,at2x,at2y,at2z,lr1t,lr1x,lr1y,lr1z,lr2t,lr2x,lr2y,lr2z,rl1t,rl1x,rl1y,rl1z,rl2t,rl2x,rl2y,rl2z,pl,spl,plr
201935,James,Harden,77,1138,-0.114509350944436,0.168084679028984,3.3473054010159,0.379,-0.00356656914777947,0.0111703066837103,8.26836181305035,14.3692147704258,-7.30154134503502,-0.446878732267248,12.3677858367621,9.70881688314051,0.307,0.326269096248789,0.0590339722502344,7.48439472733009,19.8331607676314,0.115,-0.402705376758172,-0.0552613615493993,4.87246688810509,0.076,-0.483738854118688,-0.0274941392315442,4.1404931830753,NA,NA,NA,NA,0.28,0.351015085864861,0.0749745497396896,7.21773741980774,NA,NA,NA,NA,0.123,-0.37151287109418,-0.0559528007586833,5.03070826200327,NA,NA,NA,NA,0.267,0.34546161022986,0.0772735689614034,7.08090910164591,NA,NA,NA,NA,5.289547439307,4.92480726846307,1.07406181622164
203081,Damian,Lillard,74,1114,-0.142569208812507,-0.181050662738671,2.96923004600262,0.373,0.0188272672555172,-0.0120863651546387,7.72836152167536,14.9383995078823,-7.45209863989745,0.0594585583106807,12.9467552073166,10.0050472079713,0.305,0.303695735134958,0.00502497196821212,6.97172451050945,18.4622627355617,0.116,-0.402924095849779,0.176321248425686,4.46598450521752,0.077,-0.459616051348238,0.0920405779670227,3.780864660914,NA,NA,NA,NA,0.288,0.313234520908734,0.0161861365341839,6.80047316187752,NA,NA,NA,NA,0.369,0.0481313420339457,-0.0122259829535168,7.67681744710286,NA,NA,NA,NA,0.158,-0.264657908810357,0.213884792294877,5.19335530147368,NA,NA,NA,NA,5.1066274000146,4.76486412808217,1.07172571195015
2772,Trevor,Ariza,80,942,0.231319847772078,0.13894414831165,3.16204021612171,0.438,-0.103801154539718,0.00395070697086905,8.58015710234668,14.8801639998644,-6.66120923934387,0.373250089851638,13.30068631699,12.8867356245132,0.37,0.212265256770377,0.00936444437144734,7.69427280358071,16.0979541181412,0.236,0.0420212519717356,0.175202325741329,5.76337021505006,0.13,-0.322749638906108,0.299124305480481,4.19445089114545,NA,NA,NA,NA,0.319,0.294995707751299,0.0450639943578742,7.03068831528223,NA,NA,NA,NA,0.411,0.053697027971114,-9.7446391652814e-4,8.22475842646833,NA,NA,NA,NA,0.129,-0.322695564996166,0.299125115186056,4.18230476198715,NA,NA,NA,NA,5.77882756495228,5.43014916076821,1.06421157022779
202083,Wesley,Matthews,76,920,-0.718608528113303,0.135209814526212,3.1635406684754,0.375,0.0114622418224991,-0.0129510658375383,7.44614566496032,14.9049306959925,-6.60194186607387,0.0644482744549829,13.3629027186925,8.00518851599729,0.291,0.216119953775392,0.0140960111635263,6.58188567895585,18.3598342060733,0.109,-0.991468230386162,0.334144623134006,4.3131988638549,0.097,-0.998313158582334,0.326291044015186,4.09419713648779,NA,NA,NA,NA,0.308,0.230295551975625,0.00231459754442791,6.71987471489999,NA,NA,NA,NA,0.367,0.0614261230097084,-0.0132193403896324,7.340823299191,NA,NA,NA,NA,0.122,-0.968163854299798,0.337137396571478,4.5500747134057304,NA,NA,NA,NA,4.84608318226744,4.34691390891312,1.11483302494922
200768,Kyle,Lowry,72,886,0.00922305969208581,0.211346747295189,3.11600215306186,0.392,-0.00467614094670624,0.0118286540684539,7.94464497292005,14.3664064243198,-8.34666119784643,0.309380246928038,11.6889334098502,7.44568449358862,0.324,0.38788680749689,0.00219369325412386,7.32719758564497,19.8473604428271,0.123,-0.203414662356671,0.545492818267211,4.88182459989268,0.077,-0.33098140495526,0.563263056187248,4.02575508061453,NA,NA,NA,NA,0.279,0.460290154271857,0.0428883333882052,6.96273144117473,NA,NA,NA,NA,0.34,0.326952536936682,-7.36574890435882e-5,7.44801884635928,NA,NA,NA,NA,0.094,-0.310647948293568,0.574840649875848,4.32021048870584,NA,NA,NA,NA,5.29731108992703,4.83278306352264,1.09612019002272
2594,Kyle,Korver,79,885,0.181374465998276,0.329990979325469,3.33929831312742,0.412,-0.0553891679688086,0.00336945697102937,8.39527968494738,13.8532835603029,-7.20959641635336,-1.70699002385557,11.7056127551667,11.5344283883747,0.38,0.13870057179633,0.0585295305762856,8.02424820339882,17.4465764848408,0.198,0.135347266407607,0.270102491386162,5.48377102051159,0.1,-0.122479053611798,0.282419965908793,3.9436442326657,NA,NA,NA,NA,0.286,0.355788465542988,0.207323276943592,6.89522238840822,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.32454860895158,5.07204951370004,1.04978245866282
201567,Kevin,Love,80,824,-0.784834259265562,0.346102042061465,3.52762101782173,0.382,-0.00522168932404626,-0.015267210382013,8.25197871200977,14.3189256429162,-7.44588966579412,0.0661380676505035,12.2305349191354,8.80361095684811,0.308,0.273031307837897,-0.0182794908557572,7.49952815498622,18.6021813789825,0.116,-0.797702577528965,0.395730484574306,5.15396668695685,0.0600000000000001,-1.00114462634163,0.45774311828867,4.21342814495487,NA,NA,NA,NA,0.304,0.27362390250936,-0.0174980858151311,7.46430436700949,NA,NA,NA,NA,0.32,0.263200979561383,-0.0191696026773833,7.60569405563816,0.048,-0.989167871043476,0.44837125154896,4.05432647010661,0.0660000000000001,-0.997870857170539,0.458828039294681,4.2961894280571,0.297,0.271561025421628,-0.0154050447834367,7.40240409658728,5.16714459912044,4.80186829457619,1.07606962168388
2747,JR,Smith,78,798,-0.664766592094304,-0.208117465757089,3.38065932227364,0.392,0.0132710383168474,-0.0117058414205685,8.45604379051735,13.2944083605007,-6.78089405041137,1.06291678378458,11.385560040841,6.60216288360615,0.317,0.296980383717821,-0.0733821235038442,7.79754903591111,22.0318052679138,0.118,-0.773536845237204,0.129279038721402,5.12365833770558,0.066,-0.938225904011449,0.0473430585630359,4.07661902013406,NA,NA,NA,NA,0.307,0.301147708604521,-0.0774360876989621,7.73115988897753,NA,NA,NA,NA,0.294,0.295214739027211,-0.0794513091791847,7.64068561309154,NA,NA,NA,NA,0.138,-0.649307233648102,0.136797102712511,5.55797558174103,NA,NA,NA,NA,5.52857376317964,5.12424043687624,1.07890600202786
201980,Danny,Green,78,779,0.105275613839806,0.191267960321262,3.1712099327876,0.388,-0.0359213091878982,-0.00797913099904921,8.40680487649971,13.4692771462432,-6.75858152176927,-0.951003734831617,11.6120021767241,6.79496885389152,0.318,0.178016450830758,0.0725610761774233,7.7739782186784,22.2198161281222,0.116,-0.417507631372055,0.289697375346305,4.82747379533002,0.136,-0.43063000285594,0.293500634752734,5.26535170760708,NA,NA,NA,NA,0.326,0.180504765720355,0.0615268578134242,7.82870045849257,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.136,-0.43063000285594,0.293500634752734,5.26535170760708,NA,NA,NA,NA,5.53301589046621,5.24128709279465,1.05565976305183
201587,Nicolas,Batum,81,750,-0.124614792628551,0.183126852289938,3.30889516677484,0.479,-0.0247836915578368,-0.0335314480666388,8.84258269905389,13.5216887992164,-7.68180890118791,-0.312076266487486,11.1233308137617,9.3502963773222,0.403,0.396009474592634,-0.0179297599324523,8.06809361840758,16.0750283231881,0.197,-0.190278202303437,0.325476568697849,5.59524901331783,0.123,-0.476116827985632,0.432719691703543,4.46561068192887,NA,NA,NA,NA,0.349,0.491968462239344,0.0081177847308449309,7.53764927147138,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.126,-0.47583361925318,0.43288598561557,4.51200782917976,NA,NA,NA,NA,6.0299339037764,5.53882702137872,1.08866622490685
